Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR
19/12/2016,Everton,Liverpool,0,1,A
18/12/2016,Tottenham,Burnley,2,1,H
18/12/2016,ManCity,Arsenal,2,1,H
18/12/2016,Bournemouth,Southampton,1,3,A
17/12/2016,WestHamUnited,HullCity,1,0,H
17/12/2016,WestBromwichAlbion,ManchesterUnited,0,2,A
17/12/2016,Sunderland,Watford,1,0,H
17/12/2016,Stoke,Leicester,2,2,D
17/12/2016,Middlesbrough,SwanseaCity,3,0,H
17/12/2016,CrystalPalace,Chelsea,0,1,A
14/12/2016,WestHamUnited,Burnley,1,0,H
14/12/2016,WestBromwichAlbion,SwanseaCity,3,1,H
14/12/2016,Tottenham,HullCity,3,0,H
14/12/2016,Sunderland,Chelsea,0,1,A
14/12/2016,Stoke,Southampton,0,0,D
14/12/2016,Middlesbrough,Liverpool,0,3,A
14/12/2016,ManCity,Watford,2,0,H
14/12/2016,CrystalPalace,ManchesterUnited,1,2,A
13/12/2016,Everton,Arsenal,2,1,H
13/12/2016,Bournemouth,Leicester,1,0,H
11/12/2016,Southampton,Middlesbrough,1,0,H
11/12/2016,ManchesterUnited,Tottenham,1,0,H
11/12/2016,Liverpool,WestHamUnited,2,2,D
11/12/2016,Chelsea,WestBromwichAlbion,1,0,H
10/12/2016,Watford,Everton,3,2,H
10/12/2016,SwanseaCity,Sunderland,3,0,H
10/12/2016,Leicester,ManCity,4,2,H
10/12/2016,HullCity,CrystalPalace,3,3,D
10/12/2016,Burnley,Bournemouth,3,2,H
10/12/2016,Arsenal,Stoke,3,1,H
05/12/2016,Middlesbrough,HullCity,1,0,H
04/12/2016,Everton,ManchesterUnited,1,1,D
04/12/2016,Bournemouth,Liverpool,4,3,H
03/12/2016,WestHamUnited,Arsenal,1,5,A
03/12/2016,WestBromwichAlbion,Watford,3,1,H
03/12/2016,Tottenham,SwanseaCity,5,0,H
03/12/2016,Sunderland,Leicester,2,1,H
03/12/2016,Stoke,Burnley,2,0,H
03/12/2016,ManCity,Chelsea,1,3,A
03/12/2016,CrystalPalace,Southampton,3,0,H
27/11/2016,Watford,Stoke,0,1,A
27/11/2016,Southampton,Everton,1,0,H
27/11/2016,ManchesterUnited,WestHamUnited,1,1,D
27/11/2016,Arsenal,Bournemouth,3,1,H
26/11/2016,SwanseaCity,CrystalPalace,5,4,H
26/11/2016,Liverpool,Sunderland,2,0,H
26/11/2016,Leicester,Middlesbrough,2,2,D
26/11/2016,HullCity,WestBromwichAlbion,1,1,D
26/11/2016,Chelsea,Tottenham,2,1,H
26/11/2016,Burnley,ManCity,1,2,A
21/11/2016,WestBromwichAlbion,Burnley,4,0,H
20/11/2016,Middlesbrough,Chelsea,0,1,A
19/11/2016,CrystalPalace,ManCity,1,2,A
19/11/2016,Everton,SwanseaCity,1,1,D
19/11/2016,ManchesterUnited,Arsenal,1,1,D
19/11/2016,Southampton,Liverpool,0,0,D
19/11/2016,Stoke,Bournemouth,0,1,A
19/11/2016,Sunderland,HullCity,3,0,H
19/11/2016,Tottenham,WestHamUnited,3,2,H
19/11/2016,Watford,Leicester,2,1,H
06/11/2016,Arsenal,Tottenham,1,1,D
06/11/2016,HullCity,Southampton,2,1,H
06/11/2016,Leicester,WestBromwichAlbion,1,2,A
06/11/2016,Liverpool,Watford,6,1,H
06/11/2016,SwanseaCity,ManchesterUnited,1,3,A
05/11/2016,Bournemouth,Sunderland,1,2,A
05/11/2016,Burnley,CrystalPalace,3,2,H
05/11/2016,Chelsea,Everton,5,0,H
05/11/2016,ManCity,Middlesbrough,1,1,D
05/11/2016,WestHamUnited,Stoke,1,1,D
31/10/2016,Stoke,SwanseaCity,3,1,H
30/10/2016,Everton,WestHamUnited,2,0,H
30/10/2016,Southampton,Chelsea,0,2,A
29/10/2016,CrystalPalace,Liverpool,2,4,A
29/10/2016,ManchesterUnited,Burnley,0,0,D
29/10/2016,Middlesbrough,Bournemouth,2,0,H
29/10/2016,Sunderland,Arsenal,1,4,A
29/10/2016,Tottenham,Leicester,1,1,D
29/10/2016,Watford,HullCity,1,0,H
29/10/2016,WestBromwichAlbion,ManCity,0,4,A
23/10/2016,Chelsea,ManchesterUnited,4,0,H
23/10/2016,ManCity,Southampton,1,1,D
22/10/2016,Arsenal,Middlesbrough,0,0,D
22/10/2016,Bournemouth,Tottenham,0,0,D
22/10/2016,Burnley,Everton,2,1,H
22/10/2016,HullCity,Stoke,0,2,A
22/10/2016,Leicester,CrystalPalace,3,1,H
22/10/2016,Liverpool,WestBromwichAlbion,2,1,H
22/10/2016,SwanseaCity,Watford,0,0,D
22/10/2016,WestHamUnited,Sunderland,1,0,H
17/10/2016,Liverpool,ManchesterUnited,0,0,D
16/10/2016,Middlesbrough,Watford,0,1,A
16/10/2016,Southampton,Burnley,3,1,H
15/10/2016,Arsenal,SwanseaCity,3,2,H
15/10/2016,Bournemouth,HullCity,6,1,H
15/10/2016,Chelsea,Leicester,3,0,H
15/10/2016,CrystalPalace,WestHamUnited,0,1,A
15/10/2016,ManCity,Everton,1,1,D
15/10/2016,Stoke,Sunderland,2,0,H
15/10/2016,WestBromwichAlbion,Tottenham,1,1,D
02/10/2016,Burnley,Arsenal,0,1,A
02/10/2016,Leicester,Southampton,0,0,D
02/10/2016,ManchesterUnited,Stoke,1,1,D
02/10/2016,Tottenham,ManCity,2,0,H
01/10/2016,HullCity,Chelsea,0,2,A
01/10/2016,Sunderland,WestBromwichAlbion,1,1,D
01/10/2016,SwanseaCity,Liverpool,1,2,A
01/10/2016,Watford,Bournemouth,2,2,D
01/10/2016,WestHamUnited,Middlesbrough,1,1,D
30/09/2016,Everton,CrystalPalace,1,1,D
26/09/2016,Burnley,Watford,2,0,H
25/09/2016,WestHamUnited,Southampton,0,3,A
24/09/2016,Arsenal,Chelsea,3,0,H
24/09/2016,Bournemouth,Everton,1,0,H
24/09/2016,Liverpool,HullCity,5,1,H
24/09/2016,ManchesterUnited,Leicester,4,1,H
24/09/2016,Middlesbrough,Tottenham,1,2,A
24/09/2016,Stoke,WestBromwichAlbion,1,1,D
24/09/2016,Sunderland,CrystalPalace,2,3,A
24/09/2016,SwanseaCity,ManCity,1,3,A
18/09/2016,CrystalPalace,Stoke,4,1,H
18/09/2016,Southampton,SwanseaCity,1,0,H
18/09/2016,Tottenham,Sunderland,1,0,H
18/09/2016,Watford,ManchesterUnited,3,1,H
17/09/2016,Everton,Middlesbrough,3,1,H
17/09/2016,HullCity,Arsenal,1,4,A
17/09/2016,Leicester,Burnley,3,0,H
17/09/2016,ManCity,Bournemouth,4,0,H
17/09/2016,WestBromwichAlbion,WestHamUnited,4,2,H
16/09/2016,Chelsea,Liverpool,1,2,A
12/09/2016,Sunderland,Everton,0,3,A
11/09/2016,SwanseaCity,Chelsea,2,2,D
10/09/2016,Arsenal,Southampton,2,1,H
10/09/2016,Bournemouth,WestBromwichAlbion,1,0,H
10/09/2016,Burnley,HullCity,1,1,D
10/09/2016,Liverpool,Leicester,4,1,H
10/09/2016,ManchesterUnited,ManCity,1,2,A
10/09/2016,Middlesbrough,CrystalPalace,1,2,A
10/09/2016,Stoke,Tottenham,0,4,A
10/09/2016,WestHamUnited,Watford,2,4,A
28/08/2016,ManCity,WestHamUnited,3,1,H
28/08/2016,WestBromwichAlbion,Middlesbrough,0,0,D
27/08/2016,Chelsea,Burnley,3,0,H
27/08/2016,CrystalPalace,Bournemouth,1,1,D
27/08/2016,Everton,Stoke,1,0,H
27/08/2016,HullCity,ManchesterUnited,0,1,A
27/08/2016,Leicester,SwanseaCity,2,1,H
27/08/2016,Southampton,Sunderland,1,1,D
27/08/2016,Tottenham,Liverpool,1,1,D
27/08/2016,Watford,Arsenal,1,3,A
21/08/2016,Sunderland,Middlesbrough,1,2,A
