TeamName,HomeMatches,HomeGoalsFor,HomeGoalsAgainst,AverageHomeGoalsFor,AverageGoalsAgainst,HomeAttackingStrength,HomeDefensiveStrength,AwayMatches,AwayGoalsFor,AwayGoalsAgainst,AverageAwayGoalsFor,AverageAwayGoalsagainst,AwayAttackingStrength,AwayDefensiveStrength
Arsenal,8,18,10,2.25,1.25,1.38,1.05,8,20,9,2.50,1.13,2.10,0.69
Bournemouth,9,16,12,1.78,1.33,1.09,1.12,8,7,16,0.88,2.00,0.74,1.23
Burnley,9,14,10,1.56,1.11,0.95,0.93,8,2,18,0.25,2.25,0.21,1.38
Chelsea,8,21,4,2.63,0.50,1.60,0.42,9,14,7,1.56,0.78,1.31,0.48
CrystalPalace,9,12,13,1.33,1.44,0.81,1.21,8,16,19,2.00,2.38,1.68,1.46
Everton,9,12,7,1.33,0.78,0.81,0.65,8,9,14,1.13,1.75,0.95,1.08
HullCity,8,9,15,1.13,1.88,0.69,1.58,9,5,21,0.56,2.33,0.47,1.44
LeicesterCity,8,15,8,1.88,1.00,1.15,0.84,9,8,21,0.89,2.33,0.75,1.44
Liverpool,7,21,6,3.00,0.86,1.83,0.72,10,20,14,2.00,1.40,1.68,0.86
ManchesterCity,9,17,9,1.89,1.00,1.15,0.84,8,19,11,2.38,1.38,2.00,0.85
ManchesterUnited,8,11,6,1.38,0.75,0.84,0.63,9,13,11,1.44,1.22,1.21,0.75
Middlesbrough,9,9,10,1.00,1.11,0.61,0.93,8,7,9,0.88,1.13,0.74,0.69
Southampton,8,8,5,1.00,0.63,0.61,0.53,9,9,11,1.00,1.22,0.84,0.75
StokeCity,9,11,13,1.22,1.44,0.75,1.21,8,8,11,1.00,1.38,0.84,0.85
Sunderland,9,11,15,1.22,1.67,0.75,1.40,8,4,13,0.50,1.63,0.42,1.00
SwanseaCity,8,13,16,1.63,2.00,0.99,1.68,9,7,21,0.78,2.33,0.65,1.44
TottenhamHotspur,9,19,5,2.11,0.56,1.29,0.47,8,10,7,1.25,0.88,1.05,0.54
Watford,8,13,12,1.63,1.50,0.99,1.26,9,8,17,0.89,1.89,0.75,1.16
WestBromwichAlbion,9,16,13,1.78,1.44,1.09,1.21,8,7,8,0.88,1.00,0.74,0.62
WestHamUnited,9,9,14,1.00,1.56,0.61,1.31,8,10,17,1.25,2.13,1.05,1.31
